date,AAPL,MSFT,GOOG
2023-01-03,125.07,222.31,89.12
2023-01-04,126.36,229.1,89.3
2023-01-05,125.02,222.31,86.2
2023-01-06,129.62,224.93,87.34
2023-01-09,130.15,227.12,88.02
2023-01-10,130.73,228.85,88.42
2023-01-11,133.49,235.77,91.51
2023-01-12,133.41,238.51,91.35
2023-01-13,134.76,239.23,92.12
2023-01-17,135.94,240.35,91.29
2023-01-18,135.21,235.81,90.69
2023-01-19,135.27,234.3,91.03
2023-01-20,137.87,240.22,94.02
2023-01-23,139.75,242.58,96.04
2023-01-24,142.53,242.04,95.02
2023-01-25,141.86,240.61,96.64
2023-01-26,143.96,248.0,98.98
2023-01-27,145.93,248.16,100.71
2023-01-30,143.0,242.71,98.08
2023-01-31,144.29,247.81,99.316

